,node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp,x,y,612_1,612_2,612_3,612_4,612_5,612_6,612_7,705_1,705_2,705_3,705_4,705_5,705_6,705_7,831_1,831_2,831_3,831_4,831_5,831_6,831_7,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1009_7
10,001e0610bbf9,AoT_Chicago,020,Western Ave & 69th St Chicago IL,41.768319,-87.683396,AoT Chicago (S) [C],2018/02/13 00:00:00,,443197.7811176321,4624279.126516199,9944,10604,11003,11456,13072,14094,13347,10586,11083,12027,12349,13775,14344,13301,10029,10498,11472,11782,13418,13881,12988,9691,10218,10851,11205,12409,13031,12204
11,001e0610bbff,AoT_Chicago,025,Western Ave & 18th St Chicago IL,41.857797,-87.685806,AoT Chicago (S),2017/12/15 00:00:00,,443076.74835869105,4634215.116656715,11231,11649,12641,13165,15004,15561,14484,10611,10974,11914,12359,14825,15134,13677,10883,11165,12268,12678,14647,15369,14042,10344,10786,11649,12021,13854,14174,13107
12,001e0610b9e7,AoT_Chicago,028,Western Blvd & 35th St Chicago IL,41.8303847,-87.684862,AoT Chicago (T),2017/02/02 00:00:00,,443130.8326800886,4631170.993554478,9532,9739,10680,10369,19557,14912,12444,9256,9480,10395,10326,15236,13023,11235,9523,9844,10287,10274,14746,13748,11485,8880,9188,10118,9948,13591,12010,10292
13,001e0610ba15,AoT_Chicago,02A,Jeffrey Ave & 95th St Chicago IL,41.722457,-87.57535,AoT Chicago (S) [C],2018/02/22 00:00:00,,452144.29550786066,4619121.603913834,9912,10503,11698,12228,14107,14536,13327,10073,10609,11745,12285,13825,14210,13209,9818,10376,11255,11794,13275,13608,12528,10006,10471,11478,11859,13553,13628,12505
14,001e0610bbe5,AoT_Chicago,02C,Martin Luther King Dr & 87th St Chicago IL,41.736495,-87.614529,AoT Chicago (S) [C],2018/02/16 00:00:00,,448896.6293068026,4620702.684595245,10025,10405,11491,11451,16489,14409,12857,8944,9536,10892,11269,14513,13985,12703,9444,9774,10583,10659,14340,13611,11890,9411,9908,10882,11090,14186,13439,11679
15,001e0610ee33,AoT_Chicago,02D,Damen Ave & Wilson Ave Chicago IL,41.965089,-87.679076,AoT Chicago (S) [C],2018/02/15 00:00:00,,443729.6694511372,4646123.091864169,9835,10069,10413,10005,18166,13746,11378,9284,9337,9837,9465,17387,12568,10649,9066,9192,9980,9619,16167,12814,10766,8220,8583,9577,9225,14094,11661,10206
16,001e0610b9e5,AoT_Chicago,02F,Sheridan Rd & Granville Ave Chicago IL,41.994597,-87.655523,AoT Chicago (S) [C],2017/11/28 00:00:00,,445706.42576260027,4649384.142730228,8944,9333,10440,10707,14637,13028,12073,8533,8894,9783,9944,13449,13837,12614,7996,8087,9957,10539,13587,13364,12327,8536,8978,9509,9369,10604,11280,10648
17,001e0610f8f4,AoT_Chicago,030,Halsted St & 34th St Chicago IL,41.832578999999996,-87.64613299999998,AoT Chicago (S) [C],2018/02/13 00:00:00,,446348.63679081085,4631389.705252999,11148,12083,12814,13435,16742,16649,15263,11319,11716,12697,13279,16968,17392,16071,11399,12414,12970,13184,18083,17057,15280,11141,11581,13288,13543,16789,16109,15050
18,001e0610ee41,AoT_Chicago,032,Wood St & Warren Blv Chicago IL,41.882304,-87.671773,AoT Chicago (S) [C],2017/12/01 00:00:00,,444262.81490281003,4636926.851347443,9891,10293,10914,11130,15244,13744,12185,9645,9971,10893,11104,14197,13455,12198,9584,9966,10698,10872,13358,13112,11658,9596,9879,10614,10709,12657,11927,11070
19,001e0610eef4,AoT_Chicago,034,Milwaukee Ave & Wabansia Ave Chicago IL,41.912681,-87.68105200000002,AoT Chicago (S),2017/10/09 00:00:00,,443519.7030533302,4640305.6087706145,12102,12770,13413,14189,16152,16997,15721,12067,12836,13370,14197,16196,17445,16589,11474,11965,12954,13526,14820,15487,14570,10545,11039,11948,12297,13552,14428,13479
20,001e0610ef29,AoT_Chicago,037,Martin Luther King Dr & 83rd St Chicago IL,41.743814,-87.61473199999998,AoT Chicago (S),2018/02/16 00:00:00,,448885.55252754886,4621515.393849295,10544,11084,12254,12801,14753,15192,14313,10527,10986,12430,13008,14859,15470,14501,10472,10911,11586,11971,14099,14223,13102,9970,10403,11064,11448,12893,13326,12542
21,001e0610f668,AoT_Chicago,038,Damen Ave & Archer Chicago IL,41.831827000000004,-87.675311,AoT Chicago (S),2017/12/15 00:00:00,,443925.18598451314,4631324.848352748,11161,11952,12258,12989,14231,14404,13521,11258,11494,12197,12793,13689,14444,13717,10453,10807,11725,12105,12877,13709,12944,9309,10160,11606,11984,12888,13777,12932
22,001e0610f730,AoT_Chicago,039,Campbell Ave & Addison St Chicago IL,41.94672,-87.69068,AoT Chicago (S),2017/03/31 00:00:00,,442751.6837478115,4644091.288524597,10714,11391,12506,12626,18198,17142,14838,10579,11114,11836,12285,16533,15555,13906,10585,11115,12466,12585,16447,15985,14408,9890,10362,11445,11845,14932,14450,13215
23,001e0610bc07,AoT_Chicago,03C,Kedzie Ave & 5th Ave Chicago IL,41.878372,-87.70604200000002,AoT Chicago (S),2017/11/20 00:00:00,,441415.8997935265,4636513.115980354,12454,13132,14812,15404,17459,18898,16942,11910,12645,14363,15315,17429,18212,16593,12252,12874,14015,14792,16862,17777,16300,11493,12233,13623,14367,16197,17584,15910
24,001e0610ef26,AoT_Chicago,03D,Halsted St & Randolph St Chicago IL,41.88431,-87.64743100000004,AoT Chicago (S),2017/12/01 00:00:00,,446284.16709137126,4637134.049192859,11605,12238,12972,13498,14854,15914,14354,11156,11888,12660,13163,14414,16000,14499,11065,11699,12814,13279,15121,15283,13470,10781,11392,12581,13153,15039,16045,13743
25,001e0610ea5a,AoT_Chicago,03E,606 Path & Milwaukee Ave Chicago IL,41.914202,-87.683048,AoT Chicago (S),2018/01/11 00:00:00,,443355.5169039079,4640475.798758728,10679,11327,12188,12320,18508,16611,14320,10174,10906,12607,12804,18575,17395,15448,10204,10756,12016,11952,17859,15261,13659,10045,10507,11273,11356,15746,13664,12154
26,001e0610ee61,AoT_Chicago,03F,Pulaski Rd & Madison St Chicago IL,41.880732,-87.72565999999998,AoT Chicago (S),2017/11/20 00:00:00,,439790.29485926306,4636788.718207353,10840,11042,12287,12602,14111,15295,14588,10060,10287,11355,11853,13735,14289,13449,9719,10180,11317,11909,13495,13762,13028,9437,9974,11253,11640,13371,14034,13042
27,001e0610ba81,AoT_Chicago,040,Lake Shore Drive & 85th St Chicago IL,41.741147999999995,-87.54045,AoT Chicago (S),2017/11/29 00:00:00,,455060.20189483423,4621177.945499111,10555,10703,11779,11861,16882,16362,13921,10156,10358,11198,11199,16563,15457,12910,10403,10643,11427,12040,15727,16948,14122,10520,10658,11310,11386,15609,15515,13119
28,001e0610ba57,AoT_Chicago,041,Western Ave & Madison St Chicago IL,41.881172,-87.686359,AoT Chicago (S),2017/11/20 00:00:00,,443051.5990826946,4636810.744387865,9866,10708,12294,12982,14024,15353,14216,10633,11146,12282,12903,14168,14907,13651,11571,12016,13745,14594,15468,15188,14173,10625,11237,12089,12535,13606,14266,12857
29,001e0610ee82,AoT_Chicago,048,Damen Ave & Webster Chicago IL,41.921405,-87.677766,AoT Chicago (S) [C],2018/02/15 00:00:00,,443799.870453984,4641272.059176626,11129,11809,12312,12685,15858,15937,14241,11028,11276,12060,12502,15625,15014,13658,10772,11099,12285,12615,14835,15902,14413,9770,10192,11225,11454,13139,13296,12317
30,001e0610ef27,AoT_Chicago,04C,Western Ave & 25th St Chicago IL,41.846579,-87.68555699999996,AoT Chicago (S) [C],2017/12/15 00:00:00,,443087.47224500467,4632969.452134141,11595,12496,12906,13371,17048,16603,15353,12009,12977,13438,14062,16314,18052,16602,10589,11297,12450,12832,15024,16223,14749,11416,11913,12694,13304,15085,15365,14163
31,001e0610fb4c,AoT_Chicago,04D,Leavitt St & Milwaukee Ave Chicago IL,41.913583,-87.682414,AoT Chicago (S),2017/10/09 00:00:00,,443407.5473257943,4640406.653862033,12292,12526,14292,14997,18790,17089,14397,10595,11128,12647,13059,17283,15652,13610,10924,11757,12274,12942,17083,15458,13336,9874,10391,11659,11970,14624,14033,12145
32,001e0610ee6f,AoT_Chicago,04E,Damen Ave & Chicago International Produce Market Chicago IL,41.846897,-87.673061,AoT Chicago (S),2017/11/20 00:00:00,,444125.128254746,4632996.5528794965,11541,11964,12983,13533,16349,20873,19003,11111,11506,12468,12989,15801,19899,17928,11265,12101,13276,13991,14987,14306,13126,22446,24319,26744,28729,30970,26565,14961
33,001e0610ef68,AoT_Chicago,04F,Ashland Ave & 18th St Chicago IL,41.857775,-87.66614399999996,AoT Chicago (S),2017/11/20 00:00:00,,444708.7225366403,4634199.825417027,12898,13452,15107,15917,16701,16467,14673,11313,12094,13264,13871,14788,15195,13747,11544,12116,13420,14059,15077,15284,13352,10478,11091,12052,12496,13561,13715,12652
34,001e0610e809,AoT_Chicago,050,Ashland Ave & Division St Chicago IL,41.903335,-87.6674,AoT Chicago (S),2017/10/09 00:00:00,,444643.8084323596,4639259.04199818,10850,11724,12397,13003,14270,14887,13737,10427,11056,12115,12727,13893,14792,13665,9779,10366,11671,11908,12606,13781,12720,9780,10360,11342,11590,12309,13330,12353
35,001e0610ee36,AoT_Chicago,051,Cottage Grove Ave & 79th St Chicago IL,41.751295,-87.605288,AoT Chicago (S) [C],2018/02/22 00:00:00,,449676.65923116665,4622340.4028024655,11692,12625,14386,14941,15802,18985,18144,13652,14412,15236,16188,17315,19479,19063,11720,12375,13479,14093,14929,15936,15526,10748,11563,12482,13074,14148,15343,14731
36,001e061135cb,AoT_Chicago,052,Ashland & 63rd St Chicago IL,41.779369,-87.66442099999998,AoT Chicago (S) [C],2018/02/13 00:00:00,,444784.4234995858,4625493.598886208,11499,12375,12958,13660,14996,15178,14143,11990,12508,12854,13344,14140,14386,13537,11202,12263,12925,13515,14716,14905,13493,11091,11537,12639,13187,14216,13539,12846
